id,base,cat,quality,source,expr,note
afër_A,afër,A,exact,RGL LexiconSqi,"mkA ""afër""",near_A
barabartë_A,barabartë,A,compile-safe-placeholder,Tosk reference,"invariantA ""barabartë""",Tosk ref observed: barabarta; Compile-safe placeholder pending Albanian paradigm certification.
bardhë_A,bardhë,A,exact,RGL LexiconSqi,"mkA ""bardhë""",white_A
bosh_A,bosh,A,exact,RGL LexiconSqi,"mkA ""bosh""",empty_A
boshnjak_A,boshnjak,A,compile-safe-placeholder,Tosk reference,"invariantA ""boshnjak""",Tosk ref observed: boshnjake; Compile-safe placeholder pending Albanian paradigm certification.
botëror_A,botëror,A,compile-safe-placeholder,Tosk reference,"invariantA ""botëror""",Tosk ref observed: botërore; Compile-safe placeholder pending Albanian paradigm certification.
budalla_A,budalla,A,exact,RGL LexiconSqi,"mkA ""budalla""",stupid_A
bukur_A,bukur,A,exact,RGL LexiconSqi,"mkA ""bukur""",beautiful_A
cilido_A,cilido,A,rgl-derived-explicit,Tosk reference,lin A from SN.which_IQuant + bound do,Tosk ref cilindo; full case/gender/number series derived from declined cili + do
demokratik_A,demokratik,A,compile-safe-placeholder,Tosk reference,"invariantA ""demokratik""",Tosk ref observed: demokratik; Compile-safe placeholder pending Albanian paradigm certification.
drejt_A,drejt,A,exact,RGL LexiconSqi,"mkA ""drejt""",straight_A
ekonomik_A,ekonomik,A,compile-safe-placeholder,Tosk reference,"invariantA ""ekonomik""",Tosk ref observed: ekonomike; Compile-safe placeholder pending Albanian paradigm certification.
flaktë_A,flaktë,A,compile-safe-placeholder,Tosk reference,"invariantA ""flaktë""",Tosk ref observed: flakta; Compile-safe placeholder pending Albanian paradigm certification.
ftohtë_A,ftohtë,A,exact,RGL LexiconSqi,"mkA ""ftohtë""",cold_A
fundit_A,fundit,A,compile-safe-placeholder,Tosk reference,"invariantA ""fundit""",Tosk ref observed: fundit; Compile-safe placeholder pending Albanian paradigm certification.
gati_A,gati,A,exact,RGL LexiconSqi,"mkA ""gati""",ready_A
gjatë_A,gjatë,A,exact,RGL LexiconSqi,"mkA ""gjatë""",long_A
gjelbër_A,gjelbër,A,exact,RGL LexiconSqi,"mkA ""gjelbër""",green_A
gjerë_A,gjerë,A,exact,RGL LexiconSqi,"mkA ""gjerë""",broad_A; wide_A
gjinor_A,gjinor,A,compile-safe-placeholder,Tosk reference,"invariantA ""gjinor""",Tosk ref observed: gjinore; Compile-safe placeholder pending Albanian paradigm certification.
hollë_A,hollë,A,exact,RGL LexiconSqi,"mkA ""hollë""",thin_A
huaj_A,huaj,A,compile-safe-placeholder,Tosk reference,"invariantA ""huaj""",Tosk ref observed: huaj; Compile-safe placeholder pending Albanian paradigm certification.
kafe_A,kafe,A,exact,RGL LexiconSqi,"mkA ""kafe""",brown_A
kalbur_A,kalbur,A,exact,RGL LexiconSqi,"mkA ""kalbur""",rotten_A
kaltër_A,kaltër,A,exact,RGL LexiconSqi,"mkA ""kaltër""",blue_A
keq_A,keq,A,exact,RGL LexiconSqi,"mkA ""keq""",bad_A
kombëtar_A,kombëtar,A,compile-safe-placeholder,Tosk reference,"invariantA ""kombëtar""",Tosk ref observed: kombëtare; Compile-safe placeholder pending Albanian paradigm certification.
kulturor_A,kulturor,A,compile-safe-placeholder,Tosk reference,"invariantA ""kulturor""",Tosk ref observed: kulturore; Compile-safe placeholder pending Albanian paradigm certification.
kuq_A,kuq,A,exact,RGL LexiconSqi,"mkA ""kuq""",red_A
