class_id	category	line	signature	guard	error_guard	uses_active	files	gender	body_sha256
mkN001	N	5	Str -> N	False	False	1	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:1	Masc	1b0c5fcf7ee2edcd2bfeba28700cc7d8bf0eac9fdfe033e9be6f39c92f18d5e2
mkN002	N	27	Str -> N	False	False	64	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:64	Masc	2deb5fed5ada41f239b60e296dd8b480702386d65ee46014d767afc26c1b9e96
mkN003	N	47	Str -> N	False	False	8	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:8	Masc	bd67ed72e56e3f5ed3cae27dd7b802a3c89ee76855bd48468db87e68a0a6dda2
mkN004	N	67	Str -> N	False	False	0		Masc	8ee74304aa8c296ceb179c2880acfeee0f511d62378e835d483cae9a3c46a252
mkN005	N	89	Str -> N	False	False	49	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:49	Masc	18d233ea16b37db3e1cc455b2a84dabd6a7c552de683293a37ffc0adb488fb36
mkN006	N	111	Str -> N	True	True	1	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:1	Masc	6a84b80d27124193909840b71ea19e478254d1cabf019ee0508e8cbd8ad03062
mkN007	N	139	Str -> N	False	False	44	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:44	Masc	4f542e281942dc7d1a818071bb79d7ac62bdf9235944b169976b057c088ce90c
mkN008	N	159	Str -> N	False	False	2	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:2	Fem	9a66387aa88fa055e90893de082b812178481c794c01ec149e508ad70c5860a9
mkN009	N	181	Str -> N	False	False	11	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:11	Fem	39c5e563347d84a78fdf461339ab07c3f1168bb14b97369797ec673c30800ee1
mkN010	N	201	Str -> N	False	False	4	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:4	Masc	ea15c59565d5798ea062da9fe9a746b5a86c96fa94a6627549238720db846900
mkN011	N	221	Str -> N	True	True	10	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:10	Fem	ead5f0feca9406d6344fa90fa265de136d60359a8c1375a9bc8f23b9564bb8f6
mkN012	N	244	Str -> N	False	False	7	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:7	Masc	ce202a9d5fc024f3b4cb205e23babb933f0f80b43e182d3a177214a25b606bbd
mkN013	N	264	Str -> N	False	False	50	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:50	Masc	e627c6ce7e6797e6493e4d3243f6953be571562348b85d4eabdafdb1745b12ce
mkN014	N	284	Str -> N	False	False	3	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:3	Masc	1d43462d5080f5de36d6ba50ac9b343b2532c87417a9fa578162ff836c1d8633
mkN015	N	304	Str -> N	False	False	0		Masc	c5b02a0ac1b6aab2f96d78ad1109e303f87b5dc4ca6d8ad09c02159592b97ec1
mkN016	N	324	Str -> N	False	False	0		Masc	26573a56e77fe4b95d94d0705edb5c4217687ca33fa20e4e1abb6e7608877e1b
mkN017	N	344	Str -> N	False	False	47	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:47	Masc	806faab3ed3b1cd77e4f0b1d9475909bb93ec0d9fc58d76aa848122e4516beef
mkN018	N	364	Str -> N	False	False	0		Masc	c663306ea51385c4acebee3838c56fc4753313691130b83a8d24970b2e179a42
mkN019	N	384	Str -> N	False	False	0		Masc	83b59ccdd04a70ac0f2568592486c6ab0eabbc13b604305024bd2828f10d314a
mkN020	N	404	Str -> N	False	False	40	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:40	Masc	d28c663bf9d0cab21221d9cafb0edc019211d7344d9069a19f2b9171fa3aac48
mkN021	N	424	Str -> N	False	False	0		Masc	190f80c1469d9fd29ab522d2f1092ad1c456c0dbcb91f669cde2d5bad59917d0
mkN022	N	446	Str -> N	True	True	2	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:2	Fem	e3285a4546e5d82249d85c90d450be428e665cb3fceb286f8b31940eb96a4e06
mkN023	N	474	Str -> N	False	False	2	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:2	Fem	0b344bc52ea5c9b2099c8c0c089af5b8264e9a730ea59c637ccbeec4efc4d662
mkN024	N	496	Str -> N	False	False	0		Fem	53480c2955392c4c1775ab6893d7a04e3ada593ff2bd6e18999d2b1021322355
mkN025	N	518	Str -> N	False	False	0		Masc	b64e030bab385b659cbe446d9ab9361db5c14df8643135e633ad0865f999daea
mkN026	N	538	Str -> N	False	False	0		Masc	e48329b047f2a06644caea56a9e5238268db8a6dcb8497edcef258a46c5ae43d
mkN027	N	560	Str -> N	False	False	6	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:6	Masc	0aec0b2c4eb9c41fa2b338b2c5275251a15ae36d055e52a3c264aa1e03daac02
mkN028	N	582	Str -> N	True	True	7	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:7	Fem	43a9a949ae04c31081c8f3cef48710ed03d2784b12f3d69a728af2098babfc52
mkN029	N	605	Str -> N	True	True	0		Masc	020bffc41535cd09d826e82bef20ca2ced0b159307b55ad57d2d40bb46d8fd7b
mkN030	N	628	Str -> N	False	False	2	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:2	Fem	35e401f8a53276f6d8ae513bcd2a5cfbf4476b42b30d8dc051fbed4f25d18775
mkN031	N	650	Str -> N	False	False	54	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:54	Masc	d8c2d4c822850205e5ebab85a907d383493f19a727dc4d69343ed6a831ab1f8e
mkN032	N	670	Str -> N	False	False	6	AlbanianSQI/GF/lib/src/albanian/LexiconSqi.gf:1;AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:4;AlbanianSQI/GF/lib/src/morphodict/MorphoDictSqi.gf:1	Fem	4e9d221d374a41fcdc4a47733d20e5c6b1b049002d2b6e9e96197253e3ade710
mkN033	N	690	Str -> N	False	False	0		Masc	23df57ed214152d543aa44f7e1f6dd8fa71da1af14ea6e9d0ccbf736684d968f
mkN034	N	710	Str -> N	False	False	31	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:31	Masc	8014f3c78f17f72099845d983265624f3daf2446de42165018f3ac3a48c09a05
mkN035	N	730	Str -> N	True	True	0		Fem	c9e400ffae7af1753077e79fa14b2303a9452aa717d94ecba56f4ce496881945
mkN036	N	753	Str -> N	False	False	1	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:1	Masc	0e338aabfdeb3eff438bda8bba64a147d9b1f7b82874f785a21ecda072d48ee6
mkN037	N	773	Str -> N	True	True	4	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:4	Fem	6475b3453b5142762dc75664fef91a33bc383a165cab7d2b1234ce45817128b1
mkN038	N	796	Str -> N	False	False	2	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:2	Masc	5f1c6f950fc96e6918aed4b510dacfef9109dc62b00fff69e8e8a060114c6262
mkN039	N	816	Str -> N	False	False	1	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:1	Fem	026b0bbfb361d466e2c7627505a2c1bb5e40b7e41db7c00720486206bd9479db
mkN040	N	836	Str -> N	False	False	9	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:9	Fem	c6c990a160b09a6dc939a5e1c64fb27ddee152e2b2c38d008c08ee60836e228f
mkN041	N	880	Str -> N	False	False	6	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:6	Masc	e46331e3d98ca91d6f0ac2aef5bd4413ca3336bce49d274a3c387a890565bffd
mkN042	N	900	Str -> N	False	False	5	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:5	Masc	d942e4f6a89a35590a600f0bac653fc256f8d621f82ece4331347c132a837de1
mkN043	N	920	Str -> N	True	True	0		Masc	22c5e8f3753996c3df9c586f658ceb0bbf05b303bf4d3e419067712461abe100
mkN044	N	946	Str -> N	False	False	0		Masc	4f42e574f80d8998c1e8921d8cf4b99cf619d39d7edd1370771607da7ff4bea7
